model,split,mae,rmse,r2
random_forest,train,0.6666795496519368,0.9212056622443477,0.9792310222319711
random_forest,val,1.8674861804767307,2.508245933538179,0.8483491412586938
random_forest,test,1.7912376988636347,2.4361818305546983,0.8552611801782037
secondary,train,1.0758068427329612,1.4617566201837473,0.9477059758862769
secondary,val,1.522576696631857,1.9953858136768194,0.9040249381319638
secondary,test,1.4969289700768211,1.9602220515140507,0.9062921079805704
stack,train,1.0120768583570912,1.3298753584373832,0.9567163574424016
stack,val,1.4079819303770271,1.8615061151529113,0.9164717130479509
stack,test,1.4222354977292726,1.8571572906899176,0.9158870233004786
